to_address,total_increase,avg_increase,call_count,std_increase,total_gas_current,avg_gas_current,total_gas_new,avg_gas_new,unique_users,unique_transactions,first_block,last_block,active_blocks,avg_base_size,max_base_size,avg_exp_size,max_exp_size,avg_mod_size,max_mod_size,cost_ratio,activity_span,avg_calls_per_block
0x8c0bfc04ada21fd496c55b8c50331f904306f564,2993400,218.56,13696,133.42,7011182,511.91,10004582,730.47,17,1775,22089912,22580985,1341,32.0,32,32.0,32,32.0,32,1.4269465548034554,491073,0.02788989032202886
0x5d8ba173dc6c3c90c8f7c04c9288bef5fdbad06e,2286000,225.0,10160,129.91,4950460,487.25,7236460,712.25,9,1270,22089632,22138303,588,32.0,32,32.0,32,32.0,32,1.4617752693689072,48671,0.20874424720578566
0x68d30f47f19c07bccef4ac7fae2dc12fca3e0dc9,1406700,150.0,9378,150.01,7263261,774.5,8669961,924.5,1,1563,22089619,22580868,1555,32.0,32,32.0,32,32.0,32,1.1936733376371853,491249,0.01909007633587786
0x3b4d794a66304f130a4db8f2551b0070dfcf5ca7,621900,150.0,4146,150.02,3211077,774.5,3832977,924.5,1,691,22089615,22580845,691,32.0,32,32.0,32,32.0,32,1.1936733376371853,491230,0.008440021089874215
0x02993cdc11213985b9b13224f3af289f03bf298d,123300,150.0,822,150.09,636639,774.5,759939,924.5,1,137,22089816,22580642,137,32.0,32,32.0,32,32.0,32,1.1936733376371853,490826,0.001674724495596208
0x7cf3876f681dbb6eda8f6ffc45d66b996df08fae,112500,150.0,750,150.1,580875,774.5,693375,924.5,1,125,22089815,22580808,125,32.0,32,32.0,32,32.0,32,1.1936733376371853,490993,0.0015275135745039653
0xece9cf6a8f2768a3b8b65060925b646afeaa5167,75600,117.21,645,146.49,577746,895.73,653346,1012.94,1,101,22089609,22501117,101,32.0,32,32.0,32,32.0,32,1.1308533507804468,411508,0.0015674019280258755
0xd19d4b5d358258f05d7b411e21a1460d11b0876f,57600,150.0,384,150.2,297408,774.5,355008,924.5,1,64,22089778,22579612,64,32.0,32,32.0,32,32.0,32,1.1936733376371853,489834,0.0007839374483244358
0xabea9132b05a70803a4e85094fd0e1800777fbef,49200,240.0,205,120.29,88109,429.8,137309,669.8,1,41,22090220,22580485,41,32.0,32,32.0,32,32.0,32,1.5583992554676593,490265,0.0004181403564595546
0xb32cb5677a7c971689228ec835800432b339ba2b,35496,4437.0,8,1896.08,35496,4437.0,70992,8874.0,2,2,22136763,22500645,2,224.0,256,3.0,3,224.0,256,2.0,363882,2.1985088613647792e-05
0x30efaaa99f8efe310d9fdc83072e2a04c093d400,14100,300.0,47,0.0,9400,200.0,23500,500.0,1,47,22097210,22581007,27,32.0,32,32.0,32,32.0,32,2.5,483797,9.714798324920731e-05
0xd1ce90003a10e6dab877890ab1fd96511555e4b3,10920,1365.0,8,0.0,10920,1365.0,21840,2730.0,1,8,22521859,22521871,8,128.0,128,32.0,32,128.0,128,2.0,12,0.6153846153846154
0xb45440830bd8d288bb2b5b01be303ae60fc855d8,10800,150.0,72,151.05,55764,774.5,66564,924.5,1,12,22090323,22444007,12,32.0,32,32.0,32,32.0,32,1.1936733376371853,353684,0.00020357097417193266
0xfeda03b91514d31b435d4e1519fd9e699c29bbfc,3300,300.0,11,0.0,2200,200.0,5500,500.0,4,5,22101587,22521875,5,32.0,32,32.0,32,32.0,32,2.5,420288,2.617246704053639e-05
0x2f3c205613d9451f88e19e011ed23775afe00c41,2700,150.0,18,154.35,13941,774.5,16641,924.5,1,3,22121295,22580893,3,32.0,32,32.0,32,32.0,32,1.1936733376371853,459598,3.916457607610112e-05
0x38de07d2526ae929f1903e5f109b70c50e12a8e0,1800,150.0,12,156.67,9294,774.5,11094,924.5,1,2,22093314,22093358,2,32.0,32,32.0,32,32.0,32,1.1936733376371853,44,0.26666666666666666
0xd18d17791f2071bf3c855ba770420a9edea0728d,1200,300.0,4,0.0,800,200.0,2000,500.0,4,4,22123916,22496358,4,128.0,128,1.0,1,128.0,128,2.5,372442,1.0739898454260115e-05
0x2eb474cffabca358d9fd3f1d43ad2b2dfb809b0e,300,300.0,1,,200,200.0,500,500.0,1,1,22495693,22495693,1,128.0,128,1.0,1,128.0,128,2.5,0,1.0
0x271682deb8c4e0901d1a1550ad2e64d568e69909,0,0.0,8,0.0,10792,1349.0,10792,1349.0,3,8,22093575,22444260,8,32.0,32,32.0,32,32.0,32,1.0,350685,2.2812430493375842e-05
0x2d5805a423d6ce771f06972ad4499f120902631a,0,0.0,4,0.0,5440,1360.0,5440,1360.0,2,2,22395309,22417291,2,32.0,32,32.0,32,32.0,32,1.0,21982,0.00018195878633489514
0x159f3668c72bbecdf1fb31beed606ec9649654eb,0,0.0,1,,1349,1349.0,1349,1349.0,1,1,22090193,22090193,1,32.0,32,32.0,32,32.0,32,1.0,0,1.0
0x1fa7cb4925086128f3bb9e26761c9c75dbac3cd1,0,0.0,3,0.0,4047,1349.0,4047,1349.0,2,3,22579656,22579868,3,32.0,32,32.0,32,32.0,32,1.0,212,0.014084507042253521
0x150fe8dbb943c372f3e8c31d9c89f1e6a13cbbfd,0,0.0,296,0.0,396048,1338.0,396048,1338.0,1,152,22089904,22580609,152,32.0,32,32.0,32,32.0,32,1.0,490705,0.0006032125142142138
0x0baac79acd45a023e19345c352d8a7a83c4e5656,0,0.0,3,0.0,4014,1338.0,4014,1338.0,1,1,22482065,22482065,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x0000000071727de22e5e9d8baf0edac6f37da032,0,0.0,252,0.0,342720,1360.0,342720,1360.0,7,88,22096728,22580833,86,32.0,32,32.0,32,32.0,32,1.0,484105,0.0005205471528962665
0x3d18ad735f949febd59bbfcb5864ee0157607616,0,0.0,15,0.0,20070,1338.0,20070,1338.0,1,6,22444438,22444455,6,32.0,32,32.0,32,32.0,32,1.0,17,0.8333333333333334
0x95ca91cea73239b15e5d2e5a74d02d6b5e0ae458,0,0.0,22,0.0,29678,1349.0,29678,1349.0,1,11,22096349,22500296,11,32.0,32,32.0,32,32.0,32,1.0,403947,5.446245556358739e-05
0x9569fe8cd0050069328e3707cffb61c77ddeb9d0,0,0.0,3,0.0,4047,1349.0,4047,1349.0,1,1,22108790,22108790,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x92ef6af472b39f1b363da45e35530c24619245a4,0,0.0,177,0.0,238773,1349.0,238773,1349.0,1,59,22089609,22580362,59,32.0,32,32.0,32,32.0,32,1.0,490753,0.00036066950040142314
0x8ddbbcc0999f396237b6534ac600ebb0d8618c99,0,0.0,2,0.0,2720,1360.0,2720,1360.0,1,1,22481668,22481668,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0x870679e138bcdf293b7ff14dd44b70fc97e12fc0,0,0.0,2685,0.0,3592530,1338.0,3592530,1338.0,1,1342,22089614,22581006,1342,32.0,32,32.0,32,32.0,32,1.0,491392,0.005464058299568777
0x5968ada261a84e19a6c85830e655647752585ed4,0,0.0,11,0.0,14960,1360.0,14960,1360.0,1,4,22481310,22482077,4,32.0,32,32.0,32,32.0,32,1.0,767,0.014322916666666666
0x5b5a0580bcfd3673820bb249514234afad33e209,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22481195,22481195,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,0,0.0,11270,0.0,15327200,1360.0,15327200,1360.0,73,4473,22089617,22581031,4183,32.0,32,32.0,32,32.0,32,1.0,491414,0.022933772880355707
0xbadc0ffee00baa564f3fea62e9d37843284c1e6a,0,0.0,2,0.0,2720,1360.0,2720,1360.0,1,1,22493354,22493354,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0xb90ed4c123843cbfd66b11411ee7694ef37e6e72,0,0.0,132,0.0,179520,1360.0,179520,1360.0,1,39,22090071,22580198,39,32.0,32,32.0,32,32.0,32,1.0,490127,0.000269317402800901
0xb3445d5413abf63df1112a4a517de2602f249785,0,0.0,3,0.0,4080,1360.0,4080,1360.0,1,1,22500016,22500016,1,32.0,32,32.0,32,32.0,32,1.0,0,3.0
0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,0,0.0,2,0.0,2720,1360.0,2720,1360.0,1,1,22417051,22417051,1,32.0,32,32.0,32,32.0,32,1.0,0,2.0
0xa13baf47339d63b743e7da8741db5456dac1e556,0,0.0,525,0.0,708225,1349.0,708225,1349.0,1,175,22089676,22580664,175,32.0,32,32.0,32,32.0,32,1.0,490988,0.0010692703909863561
0xd7f86b4b8cae7d942340ff628f82735b7a20893a,0,0.0,467,0.0,629983,1349.0,629983,1349.0,3,238,22102222,22579777,177,32.0,32,32.0,32,32.0,32,1.0,477555,0.0009778957860439403
0xef2a435e5ee44b2041100ef8cbc8ae035166606c,0,0.0,64,0.0,85632,1338.0,85632,1338.0,1,32,22090090,22580855,32,32.0,32,32.0,32,32.0,32,1.0,490765,0.00013040838199875296
0xf0d54349addcf704f77ae15b96510dea15cb7952,0,0.0,2,0.0,2698,1349.0,2698,1349.0,1,2,22122858,22394951,2,32.0,32,32.0,32,32.0,32,1.0,272093,7.350400964372607e-06
